combo_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,54
2,60,60,60,60,60,60,60,60,60,60,60,60,60,60,48
3,60,60,60,60,60,60,60,60,60,60,60,60,60,60,36
4,60,60,60,60,60,60,60,60,60,60,60,60,60,54,54
5,60,60,60,60,60,60,60,60,60,60,60,60,60,54,48
6,60,60,60,60,60,60,60,60,60,60,60,60,60,54,36
7,60,60,60,60,60,60,60,60,60,60,60,60,60,48,48
8,60,60,60,60,60,60,60,60,60,60,60,60,60,48,36
9,60,60,60,60,60,60,60,60,60,60,60,60,60,36,36
10,60,60,60,60,60,60,60,60,60,60,60,60,54,54,54
11,60,60,60,60,60,60,60,60,60,60,60,60,54,54,48
12,60,60,60,60,60,60,60,60,60,60,60,60,54,54,36
13,60,60,60,60,60,60,60,60,60,60,60,60,54,48,48
14,60,60,60,60,60,60,60,60,60,60,60,60,54,48,36
15,60,60,60,60,60,60,60,60,60,60,60,60,54,36,36
16,60,60,60,60,60,60,60,60,60,60,60,60,48,48,48
17,60,60,60,60,60,60,60,60,60,60,60,60,48,48,36
18,60,60,60,60,60,60,60,60,60,60,60,60,48,36,36
19,60,60,60,60,60,60,60,60,60,60,60,60,36,36,36
20,60,60,60,60,60,60,60,60,60,60,60,54,54,54,54
21,60,60,60,60,60,60,60,60,60,60,60,54,54,54,48
22,60,60,60,60,60,60,60,60,60,60,60,54,54,54,36
23,60,60,60,60,60,60,60,60,60,60,60,54,54,48,48
24,60,60,60,60,60,60,60,60,60,60,60,54,54,48,36
25,60,60,60,60,60,60,60,60,60,60,60,54,54,36,36
26,60,60,60,60,60,60,60,60,60,60,60,54,48,48,48
27,60,60,60,60,60,60,60,60,60,60,60,54,48,48,36
28,60,60,60,60,60,60,60,60,60,60,60,54,48,36,36
29,60,60,60,60,60,60,60,60,60,60,60,54,36,36,36
30,60,60,60,60,60,60,60,60,60,60,60,48,48,48,48
31,60,60,60,60,60,60,60,60,60,60,60,48,48,48,36
32,60,60,60,60,60,60,60,60,60,60,60,48,48,36,36
33,60,60,60,60,60,60,60,60,60,60,60,48,36,36,36
34,60,60,60,60,60,60,60,60,60,60,60,36,36,36,36
35,60,60,60,60,60,60,60,60,60,60,54,54,54,54,54
36,60,60,60,60,60,60,60,60,60,60,54,54,54,54,48
37,60,60,60,60,60,60,60,60,60,60,54,54,54,54,36
38,60,60,60,60,60,60,60,60,60,60,54,54,54,48,48
39,60,60,60,60,60,60,60,60,60,60,54,54,54,48,36
40,60,60,60,60,60,60,60,60,60,60,54,54,54,36,36
41,60,60,60,60,60,60,60,60,60,60,54,54,48,48,48
42,60,60,60,60,60,60,60,60,60,60,54,54,48,48,36
43,60,60,60,60,60,60,60,60,60,60,54,54,48,36,36
44,60,60,60,60,60,60,60,60,60,60,54,54,36,36,36
45,60,60,60,60,60,60,60,60,60,60,54,48,48,48,48
46,60,60,60,60,60,60,60,60,60,60,54,48,48,48,36
47,60,60,60,60,60,60,60,60,60,60,54,48,48,36,36
48,60,60,60,60,60,60,60,60,60,60,54,48,36,36,36
49,60,60,60,60,60,60,60,60,60,60,54,36,36,36,36
50,60,60,60,60,60,60,60,60,60,60,48,48,48,48,48
51,60,60,60,60,60,60,60,60,60,60,48,48,48,48,36
52,60,60,60,60,60,60,60,60,60,60,48,48,48,36,36
53,60,60,60,60,60,60,60,60,60,60,48,48,36,36,36
54,60,60,60,60,60,60,60,60,60,60,48,36,36,36,36
55,60,60,60,60,60,60,60,60,60,60,36,36,36,36,36
56,60,60,60,60,60,60,60,60,60,54,54,54,54,54,54
57,60,60,60,60,60,60,60,60,60,54,54,54,54,54,48
58,60,60,60,60,60,60,60,60,60,54,54,54,54,54,36
59,60,60,60,60,60,60,60,60,60,54,54,54,54,48,48
60,60,60,60,60,60,60,60,60,60,54,54,54,54,48,36
61,60,60,60,60,60,60,60,60,60,54,54,54,54,36,36
62,60,60,60,60,60,60,60,60,60,54,54,54,48,48,48
63,60,60,60,60,60,60,60,60,60,54,54,54,48,48,36
64,60,60,60,60,60,60,60,60,60,54,54,54,48,36,36
65,60,60,60,60,60,60,60,60,60,54,54,54,36,36,36
66,60,60,60,60,60,60,60,60,60,54,54,48,48,48,48
67,60,60,60,60,60,60,60,60,60,54,54,48,48,48,36
68,60,60,60,60,60,60,60,60,60,54,54,48,48,36,36
69,60,60,60,60,60,60,60,60,60,54,54,48,36,36,36
70,60,60,60,60,60,60,60,60,60,54,54,36,36,36,36
71,60,60,60,60,60,60,60,60,60,54,48,48,48,48,48
72,60,60,60,60,60,60,60,60,60,54,48,48,48,48,36
73,60,60,60,60,60,60,60,60,60,54,48,48,48,36,36
74,60,60,60,60,60,60,60,60,60,54,48,48,36,36,36
75,60,60,60,60,60,60,60,60,60,54,48,36,36,36,36
76,60,60,60,60,60,60,60,60,60,54,36,36,36,36,36
77,60,60,60,60,60,60,60,60,60,48,48,48,48,48,48
78,60,60,60,60,60,60,60,60,60,48,48,48,48,48,36
79,60,60,60,60,60,60,60,60,60,48,48,48,48,36,36
80,60,60,60,60,60,60,60,60,60,48,48,48,36,36,36
81,60,60,60,60,60,60,60,60,60,48,48,36,36,36,36
82,60,60,60,60,60,60,60,60,60,48,36,36,36,36,36
83,60,60,60,60,60,60,60,60,60,36,36,36,36,36,36
84,60,60,60,60,60,60,60,60,54,54,54,54,54,54,54
85,60,60,60,60,60,60,60,60,54,54,54,54,54,54,48
86,60,60,60,60,60,60,60,60,54,54,54,54,54,54,36
87,60,60,60,60,60,60,60,60,54,54,54,54,54,48,48
88,60,60,60,60,60,60,60,60,54,54,54,54,54,48,36
89,60,60,60,60,60,60,60,60,54,54,54,54,54,36,36
90,60,60,60,60,60,60,60,60,54,54,54,54,48,48,48
91,60,60,60,60,60,60,60,60,54,54,54,54,48,48,36
92,60,60,60,60,60,60,60,60,54,54,54,54,48,36,36
93,60,60,60,60,60,60,60,60,54,54,54,54,36,36,36
94,60,60,60,60,60,60,60,60,54,54,54,48,48,48,48
95,60,60,60,60,60,60,60,60,54,54,54,48,48,48,36
96,60,60,60,60,60,60,60,60,54,54,54,48,48,36,36
97,60,60,60,60,60,60,60,60,54,54,54,48,36,36,36
98,60,60,60,60,60,60,60,60,54,54,54,36,36,36,36
99,60,60,60,60,60,60,60,60,54,54,48,48,48,48,48
100,60,60,60,60,60,60,60,60,54,54,48,48,48,48,36
101,60,60,60,60,60,60,60,60,54,54,48,48,48,36,36
102,60,60,60,60,60,60,60,60,54,54,48,48,36,36,36
103,60,60,60,60,60,60,60,60,54,54,48,36,36,36,36
104,60,60,60,60,60,60,60,60,54,54,36,36,36,36,36
105,60,60,60,60,60,60,60,60,54,48,48,48,48,48,48
106,60,60,60,60,60,60,60,60,54,48,48,48,48,48,36
107,60,60,60,60,60,60,60,60,54,48,48,48,48,36,36
108,60,60,60,60,60,60,60,60,54,48,48,48,36,36,36
109,60,60,60,60,60,60,60,60,54,48,48,36,36,36,36
110,60,60,60,60,60,60,60,60,54,48,36,36,36,36,36
111,60,60,60,60,60,60,60,60,54,36,36,36,36,36,36
112,60,60,60,60,60,60,60,60,48,48,48,48,48,48,48
113,60,60,60,60,60,60,60,60,48,48,48,48,48,48,36
114,60,60,60,60,60,60,60,60,48,48,48,48,48,36,36
115,60,60,60,60,60,60,60,60,48,48,48,48,36,36,36
116,60,60,60,60,60,60,60,60,48,48,48,36,36,36,36
117,60,60,60,60,60,60,60,60,48,48,36,36,36,36,36
118,60,60,60,60,60,60,60,60,48,36,36,36,36,36,36
119,60,60,60,60,60,60,60,60,36,36,36,36,36,36,36
120,60,60,60,60,60,60,60,54,54,54,54,54,54,54,54
121,60,60,60,60,60,60,60,54,54,54,54,54,54,54,48
122,60,60,60,60,60,60,60,54,54,54,54,54,54,54,36
123,60,60,60,60,60,60,60,54,54,54,54,54,54,48,48
124,60,60,60,60,60,60,60,54,54,54,54,54,54,48,36
125,60,60,60,60,60,60,60,54,54,54,54,54,54,36,36
126,60,60,60,60,60,60,60,54,54,54,54,54,48,48,48
127,60,60,60,60,60,60,60,54,54,54,54,54,48,48,36
128,60,60,60,60,60,60,60,54,54,54,54,54,48,36,36
129,60,60,60,60,60,60,60,54,54,54,54,54,36,36,36
130,60,60,60,60,60,60,60,54,54,54,54,48,48,48,48
131,60,60,60,60,60,60,60,54,54,54,54,48,48,48,36
132,60,60,60,60,60,60,60,54,54,54,54,48,48,36,36
133,60,60,60,60,60,60,60,54,54,54,54,48,36,36,36
134,60,60,60,60,60,60,60,54,54,54,54,36,36,36,36
135,60,60,60,60,60,60,60,54,54,54,48,48,48,48,48
136,60,60,60,60,60,60,60,54,54,54,48,48,48,48,36
137,60,60,60,60,60,60,60,54,54,54,48,48,48,36,36
138,60,60,60,60,60,60,60,54,54,54,48,48,36,36,36
139,60,60,60,60,60,60,60,54,54,54,48,36,36,36,36
140,60,60,60,60,60,60,60,54,54,54,36,36,36,36,36
141,60,60,60,60,60,60,60,54,54,48,48,48,48,48,48
142,60,60,60,60,60,60,60,54,54,48,48,48,48,48,36
143,60,60,60,60,60,60,60,54,54,48,48,48,48,36,36
144,60,60,60,60,60,60,60,54,54,48,48,48,36,36,36
145,60,60,60,60,60,60,60,54,54,48,48,36,36,36,36
146,60,60,60,60,60,60,60,54,54,48,36,36,36,36,36
147,60,60,60,60,60,60,60,54,54,36,36,36,36,36,36
148,60,60,60,60,60,60,60,54,48,48,48,48,48,48,48
149,60,60,60,60,60,60,60,54,48,48,48,48,48,48,36
150,60,60,60,60,60,60,60,54,48,48,48,48,48,36,36
151,60,60,60,60,60,60,60,54,48,48,48,48,36,36,36
152,60,60,60,60,60,60,60,54,48,48,48,36,36,36,36
153,60,60,60,60,60,60,60,54,48,48,36,36,36,36,36
154,60,60,60,60,60,60,60,54,48,36,36,36,36,36,36
155,60,60,60,60,60,60,60,54,36,36,36,36,36,36,36
156,60,60,60,60,60,60,60,48,48,48,48,48,48,48,48
157,60,60,60,60,60,60,60,48,48,48,48,48,48,48,36
158,60,60,60,60,60,60,60,48,48,48,48,48,48,36,36
159,60,60,60,60,60,60,60,48,48,48,48,48,36,36,36
160,60,60,60,60,60,60,60,48,48,48,48,36,36,36,36
161,60,60,60,60,60,60,60,48,48,48,36,36,36,36,36
162,60,60,60,60,60,60,60,48,48,36,36,36,36,36,36
163,60,60,60,60,60,60,60,48,36,36,36,36,36,36,36
164,60,60,60,60,60,60,60,36,36,36,36,36,36,36,36
165,60,60,60,60,60,60,54,54,54,54,54,54,54,54,54
166,60,60,60,60,60,60,54,54,54,54,54,54,54,54,48
167,60,60,60,60,60,60,54,54,54,54,54,54,54,54,36
168,60,60,60,60,60,60,54,54,54,54,54,54,54,48,48
169,60,60,60,60,60,60,54,54,54,54,54,54,54,48,36
170,60,60,60,60,60,60,54,54,54,54,54,54,54,36,36
171,60,60,60,60,60,60,54,54,54,54,54,54,48,48,48
172,60,60,60,60,60,60,54,54,54,54,54,54,48,48,36
173,60,60,60,60,60,60,54,54,54,54,54,54,48,36,36
174,60,60,60,60,60,60,54,54,54,54,54,54,36,36,36
175,60,60,60,60,60,60,54,54,54,54,54,48,48,48,48
176,60,60,60,60,60,60,54,54,54,54,54,48,48,48,36
177,60,60,60,60,60,60,54,54,54,54,54,48,48,36,36
178,60,60,60,60,60,60,54,54,54,54,54,48,36,36,36
179,60,60,60,60,60,60,54,54,54,54,54,36,36,36,36
180,60,60,60,60,60,60,54,54,54,54,48,48,48,48,48
181,60,60,60,60,60,60,54,54,54,54,48,48,48,48,36
182,60,60,60,60,60,60,54,54,54,54,48,48,48,36,36
183,60,60,60,60,60,60,54,54,54,54,48,48,36,36,36
184,60,60,60,60,60,60,54,54,54,54,48,36,36,36,36
185,60,60,60,60,60,60,54,54,54,54,36,36,36,36,36
186,60,60,60,60,60,60,54,54,54,48,48,48,48,48,48
187,60,60,60,60,60,60,54,54,54,48,48,48,48,48,36
188,60,60,60,60,60,60,54,54,54,48,48,48,48,36,36
189,60,60,60,60,60,60,54,54,54,48,48,48,36,36,36
190,60,60,60,60,60,60,54,54,54,48,48,36,36,36,36
191,60,60,60,60,60,60,54,54,54,48,36,36,36,36,36
192,60,60,60,60,60,60,54,54,54,36,36,36,36,36,36
193,60,60,60,60,60,60,54,54,48,48,48,48,48,48,48
194,60,60,60,60,60,60,54,54,48,48,48,48,48,48,36
195,60,60,60,60,60,60,54,54,48,48,48,48,48,36,36
196,60,60,60,60,60,60,54,54,48,48,48,48,36,36,36
197,60,60,60,60,60,60,54,54,48,48,48,36,36,36,36
198,60,60,60,60,60,60,54,54,48,48,36,36,36,36,36
199,60,60,60,60,60,60,54,54,48,36,36,36,36,36,36
200,60,60,60,60,60,60,54,54,36,36,36,36,36,36,36
201,60,60,60,60,60,60,54,48,48,48,48,48,48,48,48
202,60,60,60,60,60,60,54,48,48,48,48,48,48,48,36
203,60,60,60,60,60,60,54,48,48,48,48,48,48,36,36
204,60,60,60,60,60,60,54,48,48,48,48,48,36,36,36
205,60,60,60,60,60,60,54,48,48,48,48,36,36,36,36
206,60,60,60,60,60,60,54,48,48,48,36,36,36,36,36
207,60,60,60,60,60,60,54,48,48,36,36,36,36,36,36
208,60,60,60,60,60,60,54,48,36,36,36,36,36,36,36
209,60,60,60,60,60,60,54,36,36,36,36,36,36,36,36
210,60,60,60,60,60,60,48,48,48,48,48,48,48,48,48
211,60,60,60,60,60,60,48,48,48,48,48,48,48,48,36
212,60,60,60,60,60,60,48,48,48,48,48,48,48,36,36
213,60,60,60,60,60,60,48,48,48,48,48,48,36,36,36
214,60,60,60,60,60,60,48,48,48,48,48,36,36,36,36
215,60,60,60,60,60,60,48,48,48,48,36,36,36,36,36
216,60,60,60,60,60,60,48,48,48,36,36,36,36,36,36
217,60,60,60,60,60,60,48,48,36,36,36,36,36,36,36
218,60,60,60,60,60,60,48,36,36,36,36,36,36,36,36
219,60,60,60,60,60,60,36,36,36,36,36,36,36,36,36
220,60,60,60,60,60,54,54,54,54,54,54,54,54,54,54
221,60,60,60,60,60,54,54,54,54,54,54,54,54,54,48
222,60,60,60,60,60,54,54,54,54,54,54,54,54,54,36
223,60,60,60,60,60,54,54,54,54,54,54,54,54,48,48
224,60,60,60,60,60,54,54,54,54,54,54,54,54,48,36
225,60,60,60,60,60,54,54,54,54,54,54,54,54,36,36
226,60,60,60,60,60,54,54,54,54,54,54,54,48,48,48
227,60,60,60,60,60,54,54,54,54,54,54,54,48,48,36
228,60,60,60,60,60,54,54,54,54,54,54,54,48,36,36
229,60,60,60,60,60,54,54,54,54,54,54,54,36,36,36
230,60,60,60,60,60,54,54,54,54,54,54,48,48,48,48
231,60,60,60,60,60,54,54,54,54,54,54,48,48,48,36
232,60,60,60,60,60,54,54,54,54,54,54,48,48,36,36
233,60,60,60,60,60,54,54,54,54,54,54,48,36,36,36
234,60,60,60,60,60,54,54,54,54,54,54,36,36,36,36
235,60,60,60,60,60,54,54,54,54,54,48,48,48,48,48
236,60,60,60,60,60,54,54,54,54,54,48,48,48,48,36
237,60,60,60,60,60,54,54,54,54,54,48,48,48,36,36
238,60,60,60,60,60,54,54,54,54,54,48,48,36,36,36
239,60,60,60,60,60,54,54,54,54,54,48,36,36,36,36
240,60,60,60,60,60,54,54,54,54,54,36,36,36,36,36
241,60,60,60,60,60,54,54,54,54,48,48,48,48,48,48
242,60,60,60,60,60,54,54,54,54,48,48,48,48,48,36
243,60,60,60,60,60,54,54,54,54,48,48,48,48,36,36
244,60,60,60,60,60,54,54,54,54,48,48,48,36,36,36
245,60,60,60,60,60,54,54,54,54,48,48,36,36,36,36
246,60,60,60,60,60,54,54,54,54,48,36,36,36,36,36
247,60,60,60,60,60,54,54,54,54,36,36,36,36,36,36
248,60,60,60,60,60,54,54,54,48,48,48,48,48,48,48
249,60,60,60,60,60,54,54,54,48,48,48,48,48,48,36
250,60,60,60,60,60,54,54,54,48,48,48,48,48,36,36
251,60,60,60,60,60,54,54,54,48,48,48,48,36,36,36
252,60,60,60,60,60,54,54,54,48,48,48,36,36,36,36
253,60,60,60,60,60,54,54,54,48,48,36,36,36,36,36
254,60,60,60,60,60,54,54,54,48,36,36,36,36,36,36
255,60,60,60,60,60,54,54,54,36,36,36,36,36,36,36
256,60,60,60,60,60,54,54,48,48,48,48,48,48,48,48
257,60,60,60,60,60,54,54,48,48,48,48,48,48,48,36
258,60,60,60,60,60,54,54,48,48,48,48,48,48,36,36
259,60,60,60,60,60,54,54,48,48,48,48,48,36,36,36
260,60,60,60,60,60,54,54,48,48,48,48,36,36,36,36
261,60,60,60,60,60,54,54,48,48,48,36,36,36,36,36
262,60,60,60,60,60,54,54,48,48,36,36,36,36,36,36
263,60,60,60,60,60,54,54,48,36,36,36,36,36,36,36
264,60,60,60,60,60,54,54,36,36,36,36,36,36,36,36
265,60,60,60,60,60,54,48,48,48,48,48,48,48,48,48
266,60,60,60,60,60,54,48,48,48,48,48,48,48,48,36
267,60,60,60,60,60,54,48,48,48,48,48,48,48,36,36
268,60,60,60,60,60,54,48,48,48,48,48,48,36,36,36
269,60,60,60,60,60,54,48,48,48,48,48,36,36,36,36
270,60,60,60,60,60,54,48,48,48,48,36,36,36,36,36
271,60,60,60,60,60,54,48,48,48,36,36,36,36,36,36
272,60,60,60,60,60,54,48,48,36,36,36,36,36,36,36
273,60,60,60,60,60,54,48,36,36,36,36,36,36,36,36
274,60,60,60,60,60,54,36,36,36,36,36,36,36,36,36
275,60,60,60,60,60,48,48,48,48,48,48,48,48,48,48
276,60,60,60,60,60,48,48,48,48,48,48,48,48,48,36
277,60,60,60,60,60,48,48,48,48,48,48,48,48,36,36
278,60,60,60,60,60,48,48,48,48,48,48,48,36,36,36
279,60,60,60,60,60,48,48,48,48,48,48,36,36,36,36
280,60,60,60,60,60,48,48,48,48,48,36,36,36,36,36
281,60,60,60,60,60,48,48,48,48,36,36,36,36,36,36
282,60,60,60,60,60,48,48,48,36,36,36,36,36,36,36
283,60,60,60,60,60,48,48,36,36,36,36,36,36,36,36
284,60,60,60,60,60,48,36,36,36,36,36,36,36,36,36
285,60,60,60,60,60,36,36,36,36,36,36,36,36,36,36
286,60,60,60,60,54,54,54,54,54,54,54,54,54,54,54
287,60,60,60,60,54,54,54,54,54,54,54,54,54,54,48
288,60,60,60,60,54,54,54,54,54,54,54,54,54,54,36
289,60,60,60,60,54,54,54,54,54,54,54,54,54,48,48
290,60,60,60,60,54,54,54,54,54,54,54,54,54,48,36
291,60,60,60,60,54,54,54,54,54,54,54,54,54,36,36
292,60,60,60,60,54,54,54,54,54,54,54,54,48,48,48
293,60,60,60,60,54,54,54,54,54,54,54,54,48,48,36
294,60,60,60,60,54,54,54,54,54,54,54,54,48,36,36
295,60,60,60,60,54,54,54,54,54,54,54,54,36,36,36
296,60,60,60,60,54,54,54,54,54,54,54,48,48,48,48
297,60,60,60,60,54,54,54,54,54,54,54,48,48,48,36
298,60,60,60,60,54,54,54,54,54,54,54,48,48,36,36
299,60,60,60,60,54,54,54,54,54,54,54,48,36,36,36
300,60,60,60,60,54,54,54,54,54,54,54,36,36,36,36
301,60,60,60,60,54,54,54,54,54,54,48,48,48,48,48
302,60,60,60,60,54,54,54,54,54,54,48,48,48,48,36
303,60,60,60,60,54,54,54,54,54,54,48,48,48,36,36
304,60,60,60,60,54,54,54,54,54,54,48,48,36,36,36
305,60,60,60,60,54,54,54,54,54,54,48,36,36,36,36
306,60,60,60,60,54,54,54,54,54,54,36,36,36,36,36
307,60,60,60,60,54,54,54,54,54,48,48,48,48,48,48
308,60,60,60,60,54,54,54,54,54,48,48,48,48,48,36
309,60,60,60,60,54,54,54,54,54,48,48,48,48,36,36
310,60,60,60,60,54,54,54,54,54,48,48,48,36,36,36
311,60,60,60,60,54,54,54,54,54,48,48,36,36,36,36
312,60,60,60,60,54,54,54,54,54,48,36,36,36,36,36
313,60,60,60,60,54,54,54,54,54,36,36,36,36,36,36
314,60,60,60,60,54,54,54,54,48,48,48,48,48,48,48
315,60,60,60,60,54,54,54,54,48,48,48,48,48,48,36
316,60,60,60,60,54,54,54,54,48,48,48,48,48,36,36
317,60,60,60,60,54,54,54,54,48,48,48,48,36,36,36
318,60,60,60,60,54,54,54,54,48,48,48,36,36,36,36
319,60,60,60,60,54,54,54,54,48,48,36,36,36,36,36
320,60,60,60,60,54,54,54,54,48,36,36,36,36,36,36
321,60,60,60,60,54,54,54,54,36,36,36,36,36,36,36
322,60,60,60,60,54,54,54,48,48,48,48,48,48,48,48
323,60,60,60,60,54,54,54,48,48,48,48,48,48,48,36
324,60,60,60,60,54,54,54,48,48,48,48,48,48,36,36
325,60,60,60,60,54,54,54,48,48,48,48,48,36,36,36
326,60,60,60,60,54,54,54,48,48,48,48,36,36,36,36
327,60,60,60,60,54,54,54,48,48,48,36,36,36,36,36
328,60,60,60,60,54,54,54,48,48,36,36,36,36,36,36
329,60,60,60,60,54,54,54,48,36,36,36,36,36,36,36
330,60,60,60,60,54,54,54,36,36,36,36,36,36,36,36
331,60,60,60,60,54,54,48,48,48,48,48,48,48,48,48
332,60,60,60,60,54,54,48,48,48,48,48,48,48,48,36
333,60,60,60,60,54,54,48,48,48,48,48,48,48,36,36
334,60,60,60,60,54,54,48,48,48,48,48,48,36,36,36
335,60,60,60,60,54,54,48,48,48,48,48,36,36,36,36
336,60,60,60,60,54,54,48,48,48,48,36,36,36,36,36
337,60,60,60,60,54,54,48,48,48,36,36,36,36,36,36
338,60,60,60,60,54,54,48,48,36,36,36,36,36,36,36
339,60,60,60,60,54,54,48,36,36,36,36,36,36,36,36
